unique_id,ds,y
Dengue,2015-06-21,56.0
Dengue,2015-06-28,48.0
Dengue,2015-07-05,103.0
Dengue,2015-07-12,73.0
Dengue,2015-07-19,67.0
Dengue,2015-07-26,83.0
Dengue,2015-08-02,72.0
Dengue,2015-08-09,83.0
Dengue,2015-08-16,62.0
Dengue,2015-08-23,35.0
Dengue,2015-08-30,54.0
Dengue,2015-09-06,47.0
Dengue,2015-09-13,58.0
Dengue,2015-09-20,71.0
Dengue,2015-09-27,78.0
Dengue,2015-10-04,73.0
Dengue,2015-10-11,56.0
Dengue,2015-10-18,69.0
Dengue,2015-10-25,94.0
Dengue,2015-11-01,79.0
Dengue,2015-11-08,89.0
Dengue,2015-11-15,107.0
Dengue,2015-11-22,79.0
Dengue,2015-11-29,90.0
Dengue,2015-12-06,86.0
Dengue,2015-12-13,102.0
Dengue,2015-12-20,121.0
Dengue,2015-12-27,129.0
Dengue,2016-01-03,136.0
Dengue,2016-01-10,143.0
Dengue,2016-01-17,216.0
Dengue,2016-01-24,281.0
Dengue,2016-01-31,272.0
Dengue,2016-02-07,310.0
Dengue,2016-02-14,365.0
Dengue,2016-02-21,290.0
Dengue,2016-02-28,351.0
Dengue,2016-03-06,335.0
Dengue,2016-03-13,331.0
Dengue,2016-03-20,247.0
Dengue,2016-03-27,142.0
Dengue,2016-04-03,230.0
Dengue,2016-04-10,255.0
Dengue,2016-04-17,232.0
Dengue,2016-04-24,219.0
Dengue,2016-05-01,186.0
Dengue,2016-05-08,209.0
Dengue,2016-05-15,181.0
Dengue,2016-05-22,220.0
Dengue,2016-05-29,226.0
Dengue,2016-06-05,145.0
Dengue,2016-06-12,128.0
Dengue,2016-06-19,162.0
Dengue,2016-06-26,156.0
Dengue,2016-07-03,139.0
Dengue,2016-07-10,119.0
Dengue,2016-07-17,85.0
Dengue,2016-07-24,72.0
Dengue,2016-07-31,59.0
Dengue,2016-08-07,39.0
Dengue,2016-08-14,78.0
Dengue,2016-08-21,35.0
Dengue,2016-08-28,51.0
Dengue,2016-09-04,22.0
Dengue,2016-09-11,37.0
Dengue,2016-09-18,48.0
Dengue,2016-09-25,37.0
Dengue,2016-10-02,34.0
Dengue,2016-10-09,28.0
Dengue,2016-10-16,29.0
Dengue,2016-10-23,45.0
Dengue,2016-10-30,42.0
Dengue,2016-11-06,35.0
Dengue,2016-11-13,19.0
Dengue,2016-11-20,31.0
Dengue,2016-11-27,21.0
Dengue,2016-12-04,37.0
Dengue,2016-12-11,24.0
Dengue,2016-12-18,31.0
Dengue,2016-12-25,16.0
Dengue,2017-01-01,29.0
Dengue,2017-01-08,43.0
Dengue,2017-01-15,19.0
Dengue,2017-01-22,40.0
Dengue,2017-01-29,35.0
Dengue,2017-02-05,44.0
Dengue,2017-02-12,25.0
Dengue,2017-02-19,21.0
Dengue,2017-02-26,25.0
Dengue,2017-03-05,23.0
Dengue,2017-03-12,14.0
Dengue,2017-03-19,16.0
Dengue,2017-03-26,13.0
Dengue,2017-04-02,12.0
Dengue,2017-04-09,13.0
Dengue,2017-04-16,12.0
Dengue,2017-04-23,18.0
Dengue,2017-04-30,9.0
Dengue,2017-05-07,13.0
Dengue,2017-05-14,11.0
Dengue,2017-05-21,7.0
Dengue,2017-05-28,16.0
Dengue,2017-06-04,14.0
Dengue,2017-06-11,14.0
Dengue,2017-06-18,24.0
Dengue,2017-06-25,14.0
Dengue,2017-07-02,9.0
Dengue,2017-07-09,11.0
Dengue,2017-07-16,15.0
Dengue,2017-07-23,8.0
Dengue,2017-07-30,10.0
Dengue,2017-08-06,7.0
Dengue,2017-08-13,6.0
Dengue,2017-08-20,13.0
Dengue,2017-08-27,5.0
Dengue,2017-09-03,7.0
Dengue,2017-09-10,9.0
Dengue,2017-09-17,6.0
Dengue,2017-09-24,10.0
Dengue,2017-10-01,8.0
Dengue,2017-10-08,3.0
Dengue,2017-10-15,8.0
Dengue,2017-10-22,3.0
Dengue,2017-10-29,7.0
Dengue,2017-11-05,4.0
Dengue,2017-11-12,1.0
Dengue,2017-11-19,6.0
Dengue,2017-11-26,5.0
Dengue,2017-12-03,7.0
Dengue,2017-12-10,7.0
Dengue,2017-12-17,9.0
Dengue,2017-12-24,4.0
Dengue,2017-12-31,7.0
Dengue,2018-01-07,3.0
Dengue,2018-01-14,9.0
Dengue,2018-01-21,7.0
Dengue,2018-01-28,9.0
Dengue,2018-02-04,4.0
Dengue,2018-02-11,7.0
Dengue,2018-02-18,4.0
Dengue,2018-02-25,2.0
Dengue,2018-03-04,3.0
Dengue,2018-03-11,5.0
Dengue,2018-03-18,12.0
Dengue,2018-03-25,5.0
Dengue,2018-04-01,4.0
Dengue,2018-04-08,6.0
Dengue,2018-04-15,10.0
Dengue,2018-04-22,4.0
Dengue,2018-04-29,10.0
Dengue,2018-05-06,10.0
Dengue,2018-05-13,7.0
Dengue,2018-05-20,9.0
Dengue,2018-05-27,11.0
Dengue,2018-06-03,7.0
Dengue,2018-06-10,3.0
Dengue,2018-06-17,11.0
Dengue,2018-06-24,16.0
Dengue,2018-07-01,5.0
Dengue,2018-07-08,5.0
Dengue,2018-07-15,6.0
Dengue,2018-07-22,5.0
Dengue,2018-07-29,5.0
Dengue,2018-08-05,7.0
Dengue,2018-08-12,5.0
Dengue,2018-08-19,6.0
Dengue,2018-08-26,5.0
Dengue,2018-09-02,3.0
Dengue,2018-09-09,11.0
Dengue,2018-09-16,6.0
Dengue,2018-09-23,4.0
Dengue,2018-09-30,3.0
Dengue,2018-10-07,9.0
Dengue,2018-10-14,2.0
Dengue,2018-10-21,2.0
Dengue,2018-10-28,1.0
Dengue,2018-11-04,6.0
Dengue,2018-11-11,1.0
Dengue,2018-11-18,2.0
Dengue,2018-11-25,4.0
Dengue,2018-12-02,2.0
Dengue,2018-12-09,2.0
Dengue,2018-12-16,4.0
Dengue,2018-12-23,2.0
Dengue,2018-12-30,6.0
Dengue,2019-01-06,5.0
Dengue,2019-01-13,12.0
Dengue,2019-01-20,11.0
Dengue,2019-01-27,3.0
Dengue,2019-02-03,5.0
Dengue,2019-02-10,9.0
Dengue,2019-02-17,6.0
Dengue,2019-02-24,8.0
Dengue,2019-03-03,6.0
Dengue,2019-03-10,7.0
Dengue,2019-03-17,11.0
Dengue,2019-03-24,21.0
Dengue,2019-03-31,6.0
Dengue,2019-04-07,11.0
Dengue,2019-04-14,9.0
Dengue,2019-04-21,7.0
Dengue,2019-04-28,9.0
Dengue,2019-05-05,14.0
Dengue,2019-05-12,14.0
Dengue,2019-05-19,17.0
Dengue,2019-05-26,14.0
Dengue,2019-06-02,17.0
Dengue,2019-06-09,22.0
Dengue,2019-06-16,19.0
Dengue,2019-06-23,16.0
Dengue,2019-06-30,24.0
Dengue,2019-07-07,23.0
Dengue,2019-07-14,19.0
Dengue,2019-07-21,30.0
Dengue,2019-07-28,29.0
Dengue,2019-08-04,31.0
Dengue,2019-08-11,32.0
Dengue,2019-08-18,43.0
Dengue,2019-08-25,40.0
Dengue,2019-09-01,41.0
Dengue,2019-09-08,62.0
Dengue,2019-09-15,54.0
Dengue,2019-09-22,62.0
Dengue,2019-09-29,80.0
Dengue,2019-10-06,44.0
Dengue,2019-10-13,60.0
Dengue,2019-10-20,45.0
Dengue,2019-10-27,41.0
Dengue,2019-11-03,49.0
Dengue,2019-11-10,57.0
Dengue,2019-11-17,81.0
Dengue,2019-11-24,66.0
Dengue,2019-12-01,99.0
Dengue,2019-12-08,101.0
Dengue,2019-12-15,97.0
Dengue,2019-12-22,127.0
Dengue,2019-12-29,136.0
Dengue,2020-01-05,162.0
Dengue,2020-01-12,180.0
Dengue,2020-01-19,264.0
Dengue,2020-01-26,192.0
Dengue,2020-02-02,438.0
Dengue,2020-02-09,348.0
Dengue,2020-02-16,338.0
Dengue,2020-02-23,359.0
Dengue,2020-03-01,379.0
Dengue,2020-03-08,305.0
Dengue,2020-03-15,396.0
Dengue,2020-03-22,271.0
Dengue,2020-03-29,255.0
Dengue,2020-04-05,207.0
Dengue,2020-04-12,209.0
Dengue,2020-04-19,177.0
Dengue,2020-04-26,161.0
Dengue,2020-05-03,142.0
Dengue,2020-05-10,155.0
Dengue,2020-05-17,136.0
Dengue,2020-05-24,117.0
Dengue,2020-05-31,121.0
Dengue,2020-06-07,120.0
Dengue,2020-06-14,96.0
Dengue,2020-06-21,73.0
Dengue,2020-06-28,104.0
Dengue,2020-07-05,83.0
Dengue,2020-07-12,68.0
Dengue,2020-07-19,55.0
Dengue,2020-07-26,55.0
Dengue,2020-08-02,76.0
Dengue,2020-08-09,54.0
Dengue,2020-08-16,76.0
Dengue,2020-08-23,66.0
Dengue,2020-08-30,74.0
Dengue,2020-09-06,54.0
Dengue,2020-09-13,65.0
Dengue,2020-09-20,67.0
Dengue,2020-09-27,59.0
Dengue,2020-10-04,62.0
Dengue,2020-10-11,60.0
Dengue,2020-10-18,59.0
Dengue,2020-10-25,48.0
Dengue,2020-11-01,54.0
Dengue,2020-11-08,62.0
Dengue,2020-11-15,56.0
Dengue,2020-11-22,54.0
Dengue,2020-11-29,44.0
Dengue,2020-12-06,53.0
Dengue,2020-12-13,59.0
Dengue,2020-12-20,53.0
Dengue,2020-12-27,34.0
Dengue,2021-01-03,82.0
Dengue,2021-01-10,78.0
