anio,semana_epi,casos,temp_media_c_lag1,temp_media_c_lag2,temp_media_c_lag3,temp_media_c_lag4,precipitacion_mm_lag1,precipitacion_mm_lag2,precipitacion_mm_lag3,precipitacion_mm_lag4,humedad_media_pct_lag1,humedad_media_pct_lag2,humedad_media_pct_lag3,humedad_media_pct_lag4,casos_lag1,casos_lag2,casos_lag4
2011,12,13,20.31428571,19.47142857,19.48571429,20.52857143,49.2,87.2,122.7,61.8,83.85714286,82.14285714,87,83.28571429,8,15,21
2011,13,7,20.88571429,20.31428571,19.47142857,19.48571429,75.6,49.2,87.2,122.7,84.57142857,83.85714286,82.14285714,87,13,8,17
2011,14,7,21.41428571,20.88571429,20.31428571,19.47142857,21.9,75.6,49.2,87.2,83.57142857,84.57142857,83.85714286,82.14285714,7,13,15
2011,15,6,20.65714286,21.41428571,20.88571429,20.31428571,128.1,21.9,75.6,49.2,86.71428571,83.57142857,84.57142857,83.85714286,7,7,8
2011,16,7,19.98571429,20.65714286,21.41428571,20.88571429,115.9,128.1,21.9,75.6,87.28571429,86.71428571,83.57142857,84.57142857,6,7,13
2011,17,10,20.14285714,19.98571429,20.65714286,21.41428571,74.4,115.9,128.1,21.9,86.28571429,87.28571429,86.71428571,83.57142857,7,6,7
2011,18,14,21.02857143,20.14285714,19.98571429,20.65714286,75.1,74.4,115.9,128.1,85.28571429,86.28571429,87.28571429,86.71428571,10,7,7
2011,19,6,22.37142857,21.02857143,20.14285714,19.98571429,10.9,75.1,74.4,115.9,80,85.28571429,86.28571429,87.28571429,14,10,6
2011,20,9,21.47142857,22.37142857,21.02857143,20.14285714,142.1,10.9,75.1,74.4,84.57142857,80,85.28571429,86.28571429,6,14,7
2011,21,9,20.15714286,21.47142857,22.37142857,21.02857143,55.5,142.1,10.9,75.1,83.14285714,84.57142857,80,85.28571429,9,6,10
2011,22,13,21.14285714,20.15714286,21.47142857,22.37142857,46.8,55.5,142.1,10.9,83.57142857,83.14285714,84.57142857,80,9,9,14
2011,23,9,20.95714286,21.14285714,20.15714286,21.47142857,36.9,46.8,55.5,142.1,84.42857143,83.57142857,83.14285714,84.57142857,13,9,6
2011,24,9,21.75714286,20.95714286,21.14285714,20.15714286,2.2,36.9,46.8,55.5,81.71428571,84.42857143,83.57142857,83.14285714,9,13,9
2011,25,11,21.57142857,21.75714286,20.95714286,21.14285714,30.2,2.2,36.9,46.8,81.85714286,81.71428571,84.42857143,83.57142857,9,9,9
2011,26,8,21.11428571,21.57142857,21.75714286,20.95714286,70.2,30.2,2.2,36.9,83.71428571,81.85714286,81.71428571,84.42857143,11,9,13
2011,27,10,20.82857143,21.11428571,21.57142857,21.75714286,28.8,70.2,30.2,2.2,83.57142857,83.71428571,81.85714286,81.71428571,8,11,9
2011,28,4,21.22857143,20.82857143,21.11428571,21.57142857,4.9,28.8,70.2,30.2,82.28571429,83.57142857,83.71428571,81.85714286,10,8,9
2011,29,13,20.2,21.22857143,20.82857143,21.11428571,38,4.9,28.8,70.2,85.28571429,82.28571429,83.57142857,83.71428571,4,10,11
2011,30,12,21.44285714,20.2,21.22857143,20.82857143,4.8,38,4.9,28.8,80.57142857,85.28571429,82.28571429,83.57142857,13,4,8
2011,31,16,20.24285714,21.44285714,20.2,21.22857143,48.2,4.8,38,4.9,85.42857143,80.57142857,85.28571429,82.28571429,12,13,10
2011,32,15,21.41428571,20.24285714,21.44285714,20.2,11.2,48.2,4.8,38,81.14285714,85.42857143,80.57142857,85.28571429,16,12,4
2011,33,15,20.84285714,21.41428571,20.24285714,21.44285714,24.8,11.2,48.2,4.8,83,81.14285714,85.42857143,80.57142857,15,16,13
2011,34,15,20.41428571,20.84285714,21.41428571,20.24285714,37.5,24.8,11.2,48.2,84.71428571,83,81.14285714,85.42857143,15,15,12
2011,35,14,20.75714286,20.41428571,20.84285714,21.41428571,13.2,37.5,24.8,11.2,83.71428571,84.71428571,83,81.14285714,15,15,16
2011,36,8,21,20.75714286,20.41428571,20.84285714,27.8,13.2,37.5,24.8,82.28571429,83.71428571,84.71428571,83,14,15,15
2011,37,13,20.58571429,21,20.75714286,20.41428571,24.4,27.8,13.2,37.5,83.42857143,82.28571429,83.71428571,84.71428571,8,14,15
2011,38,10,20.87142857,20.58571429,21,20.75714286,19.4,24.4,27.8,13.2,81.42857143,83.42857143,82.28571429,83.71428571,13,8,15
2011,39,9,21.01428571,20.87142857,20.58571429,21,50.6,19.4,24.4,27.8,83.28571429,81.42857143,83.42857143,82.28571429,10,13,14
2011,40,12,20.97142857,21.01428571,20.87142857,20.58571429,135.3,50.6,19.4,24.4,84.71428571,83.28571429,81.42857143,83.42857143,9,10,8
2011,41,10,20.64285714,20.97142857,21.01428571,20.87142857,149.8,135.3,50.6,19.4,86.28571429,84.71428571,83.28571429,81.42857143,12,9,13
